カテゴリ	タイプ	上昇ステータス	強化+1	強化+2	強化+3	強化+4	強化+5	強化+6	強化+7	強化+8	強化+9	強化+10	強化+11	強化+12
武器	共通	武器攻撃力	1	2	3	4	5	6	7	8	9	10	11	12
武器	共通	基本攻撃力	0	1	1	1	2	2	3	4	4	5	5	6
武器	共通	命中	0	0	0	0	0	0	0	0	0	0	0	0
防具	共通	防御力	1	2	3	4	5	6	7	8	9	10	11	12
防具	頭	ガード貫通	0	0	0	0	0	0	0	0	0	0	0	0
防具	上装備	クリティカルダメージ耐性	0	0	0	0	0	0	0	0	0	0	0	0
防具	手	ガード貫通	0	0	0	0	0	0	0	0	0	0	0	0
防具	下装備	攻撃力耐性	0	0	0	0	0	0	0	0	0	0	0	0
防具	マント	スキルダメージ耐性	0	0	0	0	0	0	0	0	0	0	0	0
防具	足	移動速度	0	0	0	0	0	0	0	0	0	0	0	0
アクセサリー	共通	追加ダメージ	1	2	3	4	5	6	7	8	9	10	11	12
アクセサリー	ネックレス	命中	0	0	0	0	0	0	0	0	0	0	0	0
アクセサリー	リング	スキル増幅	0	0	0	0	0	0	0	0	0	0	0	0
アクセサリー	ブレスレット	攻撃力増幅	0	0	0	0	0	0	0	0	0	0	0	0
アクセサリー	ベルト	クリティカルダメージ増幅	0	0	0	0	0	0	0	0	0	0	0	0
