カテゴリ	タイプ	上昇ステータス	強化+1	強化+2	強化+3	強化+4	強化+5	強化+6	強化+7	強化+8	強化+9	強化+10	強化+11	強化+12
武器	共通	武器攻撃力	3	6	9	12	16	21	25	30	35	43	50	59
武器	共通	基本攻撃力	2	4	6	8	10	14	16	20	23	27	32	38
武器	共通	命中	0	0	0	0	3	5	7	9	11	13	15	17
防具	共通	防御力	1	1	3	5	7	9	11	13	15	17	19	21
防具	頭	ガード貫通	2.60%	4%	5.30%	6.40%	7.40%	8.50%	9.50%	10.60%	11.60%	12.70%	13.70%	14.80%
防具	上装備	クリティカルダメージ耐性	2.60%	4%	5.30%	6.40%	7.40%	8.50%	9.50%	10.60%	11.60%	12.70%	13.70%	14.80%
防具	手	ガード貫通	2.60%	4%	5.30%	6.40%	7.40%	8.50%	9.50%	10.60%	11.60%	12.70%	13.70%	14.80%
防具	下装備	攻撃力耐性	2.60%	4%	5.30%	6.40%	7.40%	8.50%	9.50%	10.60%	11.60%	12.70%	13.70%	14.80%
防具	マント	スキルダメージ耐性	2.60%	4%	5.30%	6.40%	7.40%	8.50%	9.50%	10.60%	11.60%	12.70%	13.70%	14.80%
防具	足	移動速度	3.10%	4.60%	6.10%	6.90%	7.70%	8.60%	9.40%	10.20%	11%	11.80%	12.70%	13.50%
アクセサリー	共通	追加ダメージ	1	2	3	5	7	9	11	13	15	17	19	21
アクセサリー	ネックレス	命中	1	2	3	3	4	4	5	5	6	6	7	7
アクセサリー	リング	スキル増幅	0	0	0.70%	0.70%	1.50%	1.50%	2.20%	2.20%	2.90%	3.70%	4.40%	5.10%
アクセサリー	ブレスレット	攻撃力増幅	2.60%	4%	5.30%	6.40%	7.40%	8.50%	9.50%	10.60%	11.60%	12.70%	13.70%	14.80%
アクセサリー	ベルト	クリティカルダメージ増幅	2.60%	4%	5.30%	6.40%	7.40%	8.50%	9.50%	10.60%	11.60%	12.70%	13.70%	14.80%
