カテゴリ	タイプ	上昇ステータス	強化+1	強化+2	強化+3	強化+4	強化+5	強化+6	強化+7	強化+8	強化+9	強化+10	強化+11	強化+12
武器	共通	武器攻撃力	2	4	6	9	12	16	19	23	28	33	38	46
武器	共通	基本攻撃力	1	3	4	6	8	10	12	15	18	21	25	30
武器	共通	命中	0	0	0	0	2	3	5	7	8	10	11	13
防具	共通	防御力	1	2	3	4	6	8	10	12	13	14	15	16
防具	頭	ガード貫通	0.70%	1.70%	2.60%	3.30%	4.00%	4.70%	5.30%	6.00%	6.70%	7.40%	8.10%	8.70%
防具	上装備	クリティカルダメージ耐性	0.70%	1.70%	2.60%	3.30%	4.00%	4.70%	5.30%	6.00%	6.70%	7.40%	8.10%	8.70%
防具	手	ガード貫通	0.70%	1.70%	2.60%	3.30%	4.00%	4.70%	5.30%	6.00%	6.70%	7.40%	8.10%	8.70%
防具	下装備	攻撃力耐性	0.70%	1.70%	2.60%	3.30%	4.00%	4.70%	5.30%	6.00%	6.70%	7.40%	8.10%	8.70%
防具	マント	スキルダメージ耐性	0.70%	1.70%	2.60%	3.30%	4.00%	4.70%	5.30%	6.00%	6.70%	7.40%	8.10%	8.70%
防具	足	移動速度	0.70%	1.90%	3.10%	3.80%	4.60%	5.30%	6.10%	6.80%	7.50%	8.30%	9.00%	9.80%
アクセサリー	共通	追加ダメージ	1	2	3	4	6	8	10	12	13	14	15	16
アクセサリー	ネックレス	命中	1	1	1	2	2	2	3	3	3	4	4	4
アクセサリー	リング	スキル増幅	0	0	0.50%	0.50%	1.00%	1.00%	1.50%	1.50%	2.00%	2.50%	3.00%	3.50%
アクセサリー	ブレスレット	攻撃力増幅	0.70%	1.70%	2.60%	3.30%	4.00%	4.70%	5.30%	6.00%	6.70%	7.40%	8.10%	8.70%
アクセサリー	ベルト	クリティカルダメージ増幅	0.70%	1.70%	2.60%	3.30%	4.00%	4.70%	5.30%	6.00%	6.70%	7.40%	8.10%	8.70%
