700	200					計算	基本攻撃力	攻撃力増幅	クリティカルダメージ増幅	一般攻撃力	スキルダメージ増幅	近距離攻撃力	防御力	武力	ガード貫通	一般ダメージ増幅	気絶的中	気絶抵抗	絶対回避	クリティカル発生率	状態異常抵抗	MP回復	防御貫通	状態異常的中	PvP攻撃力	PvPクリティカル発生率	治癒量増加	硬直	近距離クリティカル発生率	魔法クリティカル発生率	活力	忍耐	聡明	硬直耐性	武器攻撃力	命中	ガード	クリティカル抵抗	クリティカルダメージ耐性	HP回復	最大HP	ポーション回復量	スキルダメージ耐性	一般ダメージ耐性	水属性追加ダメージ	風属性追加ダメージ	土属性追加ダメージ	火属性追加ダメージ	詠唱速度	武器攻撃力増幅	追加ダメージ	遠距離攻撃力	PvE攻撃力	最大MP	治癒量増幅	魔法攻撃力	攻撃力耐性	武器ブロック	追加ダメージ減少	凍結抵抗	鈍化抵抗	失明抵抗	武器攻撃力耐性	麻痺抵抗	沈黙抵抗	受ける治癒量増加	カバン最大重量	HP絶対回復	PvE防御力	PvEクリティカル抵抗	受ける治癒量増幅	PvPクリティカル抵抗	MP絶対回復	遠距離クリティカル発生率	PvP防御力	一般防御力
																																																																												
https://lh3.googleusercontent.com/2iMRN-_GC1Dr8CsjId3C8AQLE7nO8PAASnRXLhwPaiBovFncNqe_TS2nsry4QK15dHJDhSM-HIT7-WCtVaqC5vwZwuvMqhGmdlUAaH-guH6u=w120	信念の鉄槌	0古代	03鈍器	武器攻撃力:78,基本攻撃力:38,命中:5,クリティカル発生率:4%,スキルダメージ増幅:4%,攻撃力増幅:19%,ガード:5%	固有スキル:[モータルストライク]	2137.26	38	0.19	0	0	0.04	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	5	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://lh3.googleusercontent.com/s3JsBA0poXyzgUjXp-_ytxTpRRGAlRB6hbeYvxpGOeeq0LT_yq5jL_3c7SWmJVa6PSDit5H0UFiF72MeSdVR7w65oXL4D0nsQykdRUpePy2M=w120	レナの信念	0古代	04弓	武器攻撃力:78,基本攻撃力:38,命中:5,クリティカル発生率:4%,スキルダメージ増幅:4%,攻撃力増幅:19%,状態異常的中:7%	固有スキル:[フォーカス・オブ・アーチャー]	2137.26	38	0.19	0	0	0.04	0	0	0	0	0	0	0	0	0.04	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	78	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://lh3.googleusercontent.com/UWzZImJfaPtbYpiOBiC_o2kRKLItzKuA8X5l341vr5jDmowEwFiShBn1EnkjKntrL4-68nIUJinN_ztjH_e9B8n5WuY8euTWlJ4ycOhzBWw=w120	ルーカスの決意	0古代	06双剣	武器攻撃力:78,基本攻撃力:38,命中:5,クリティカル発生率:14%,スキルダメージ増幅:4%,ガード貫通:5%,攻撃力増幅:4%	固有スキル:[シャドウアサルト]	1904.66	38	0.04	0	0	0.04	0	0	0	0.05	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://lh3.googleusercontent.com/Cz1VJemS2b50QtM5FagP9YT5rOPKz29g1yAmsApAbbyDL2zy9_qEOSxOx_a2KgubHyanCIPj5JGSt9QraPwC5-2mvkMttb5adWbBCXgsPmW-=w120	クレセントセプター	0古代	05杖	武器攻撃力:78,基本攻撃力:38,命中:5,クリティカル発生率:14%,スキルダメージ増幅:4%,攻撃力増幅:4%,状態異常的中:7%	固有スキル:[カオスブラスト]	1904.16	38	0.04	0	0	0.04	0	0	0	0	0	0	0	0	0.14	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	78	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://lh3.googleusercontent.com/8ixw8SGAggsWNZBK_VmIr4T4qICiPLHJalgoEact_j0PzH_4xGohYgpMul4pEyybeMopqUBPJqq3gnt_ZfTixEkPPNk7R39pDrTDrdEd7p9p=w120	インスペクターアイ	0古代	02宝珠	武器攻撃力:78,基本攻撃力:38,命中:5,スキルダメージ増幅:14%,クリティカルダメージ増幅:7%,攻撃力増幅:4%,治癒量増加:13	固有スキル:[マナブレイク]	2058.8512	38	0.04	0.07	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	78	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://lh3.googleusercontent.com/qBGQexfBsGC49A4vCW19Igd5SecqxAB4ztMWPbcdPlBbibXFcdQ2pRzwdipsWmlTHZIVYDlMCAsf_78XgOWEq6V1WVrD5Nmb8ovVjuWWs-4=w120	静寂な森の拳銃	0古代	08双拳銃	武器攻撃力:78,基本攻撃力:38,命中:5,クリティカルダメージ増幅:28.0%,攻撃力増幅:4.0%,ガード貫通:5.0%,一般ダメージ増幅:6.0%	固有スキル:[アサシンズエイム]	2433.7288	38	0.04	0.28	0	0	0	0	0	0.05	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://lh3.googleusercontent.com/2e3uywLeALCXydYzWR7x509r6jEIFxHJ-7FMdb3IHbg6j7YK31alfvxjPfpWifBLVyo5VyMjf9BuonLzi2hzXj-5k6HbvwVpnyZRcMJwTn9Skg=w120	ヒューゴの意志	0古代	01大剣	武器攻撃力:78,基本攻撃力:38,命中:5,スキルダメージ増幅:4.0%,クリティカルダメージ増幅:28.0%,攻撃力増幅:4.0%,気絶的中:7.0%	固有スキル:[デソレイション]	2437.3248	38	0.04	0.28	0	0.04	0	0	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://lh3.googleusercontent.com/XtJEJ1IBx2QqSUW1P88AwTJZ-i6mJ-osNmxxMH8FeO9PtKA9XSiIfppdtO6UUoNQGqeiH_m9A6Yzl41M6ZQ2G3Jj2byDGl0nBT9mE-dweEgR9g=w120	静寂な虚無のサイズ	0古代	07鎌	武器攻撃力:78,基本攻撃力:38,命中:5,クリティカル発生率:7.0%,クリティカルダメージ増幅:37.0%,状態異常的中:14.0%,一般ダメージ増幅:11.0%	固有スキル:[カース・オブ・コンフューズ]	2524.636	38	0	0.37	0	0	0	0	0	0	0.11	0	0	0	0.07	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	78	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
https://lh3.googleusercontent.com/TcFqoqlFUQe_VBY3CYhgWUIzGJV-qvzx1wxeBI_74UyxJSdL-86eVRhVZlsHpTMaFfuH8e1tD8wDBgqfNIjqbiR4BZN52dDY1Hm56A9FfFI=w120	静かな栄光のメイス	0古代	03鈍器	武器攻撃力:94,基本攻撃力:48,命中:5,ガード貫通:5.0%,クリティカルダメージ増幅:28.0%,攻撃力増幅:4.0%,ガード貫通:5.0%,一般ダメージ増幅:6.0%	固有スキル:[コンバージングアタック]	2481.652	48	0.04	0.28	0	0	0	0	0	0.05	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
