=======================================
  頻出単語（リフレイン）分析レポート
=======================================

分析対象: 41ファイル
（助詞・代名詞・2文字未満の単語は除外済み）

   1位: アルト        (405回)
   2位: した         (301回)
   3位: てい         (288回)
   4位: 自分         (183回)
   5位: 魔法         (146回)
   6位: 魔力         (145回)
   7位: んで         (109回)
   8位: ただ         (107回)
   9位: 寿命         (104回)
  10位: 魔女         (101回)
  11位: なか         (98回)
  12位: 完全         (94回)
  13位: では         (93回)
  14位: でも         (92回)
  15位: スラム        (89回)
  16位: ロー         (84回)
  17位: ガン         (84回)
  18位: きた         (75回)
  19位: 上げ         (73回)
  20位: 計算         (72回)
  21位: 馬鹿         (61回)
  22位: 効率         (60回)
  23位: 世界         (57回)
  24位: ほど         (56回)
  25位: 少し         (54回)
  26位: 睡蓮         (54回)
  27位: 時間         (53回)
  28位: 絶対         (51回)
  29位: 一人         (51回)
  30位: 生き         (47回)
  31位: 静か         (47回)
  32位: 契約         (46回)
  33位: 搾取         (45回)
  34位: まれ         (43回)
  35位: でき         (43回)
  36位: 巨大         (42回)
  37位: 他人         (42回)
  38位: まっ         (42回)
  39位: しか         (41回)
  40位: 機構         (41回)
  41位: なる         (40回)
  42位: しく         (40回)
  43位: つけ         (40回)
  44位: ニーナ        (40回)
  45位: けた         (40回)
  46位: 完璧         (40回)
  47位: 冷たい        (39回)
  48位: すら         (39回)
  49位: 絶望         (38回)
  50位: 異常         (38回)
  51位: だから        (37回)
  52位: 自身         (37回)
  53位: 年間         (37回)
  54位: 人間         (36回)
  55位: 自ら         (36回)
  56位: 十六         (35回)
  57位: 消費         (35回)
  58位: パモナナ       (35回)
  59位: 瞬間         (34回)
  60位: 絶対に        (34回)
  61位: 一切         (34回)
  62位: ひどく        (34回)
  63位: 少年         (33回)
  64位: 一瞬         (33回)
  65位: にし         (33回)
  66位: 路地         (32回)
  67位: 誰か         (32回)
  68位: 全て         (32回)
  69位: 落ち         (31回)
  70位: いい         (30回)
  71位: かって        (30回)
  72位: 純粋         (30回)
  73位: たった        (30回)
  74位: しない        (29回)
  75位: ろう         (29回)
  76位: つい         (29回)
  77位: 少女         (29回)
  78位: 経路         (29回)
  79位: ベッド        (29回)
  80位: じゃ         (29回)
  81位: 立ち         (29回)
  82位: 特進         (29回)
  83位: かけ         (29回)
  84位: 防壁         (29回)
  85位: かつて        (29回)
  86位: 理解         (28回)
  87位: 両親         (28回)
  88位: 言葉         (28回)
  89位: 本当に        (28回)
  90位: 三十         (28回)
  91位: 自己         (27回)
  92位: 未来         (27回)
