=======================================
  頻出単語（リフレイン）分析レポート
=======================================

分析対象: 41ファイル
（助詞・代名詞・2文字未満の単語は除外済み）

   1位: アルト        (389回)
   2位: した         (315回)
   3位: てい         (295回)
   4位: 自分         (173回)
   5位: 魔力         (158回)
   6位: 魔法         (151回)
   7位: 魔女         (112回)
   8位: んで         (110回)
   9位: ただ         (106回)
  10位: 寿命         (105回)
  11位: ロー         (92回)
  12位: ガン         (92回)
  13位: でも         (91回)
  14位: では         (89回)
  15位: なか         (86回)
  16位: スラム        (84回)
  17位: きた         (76回)
  18位: 上げ         (74回)
  19位: 計算         (74回)
  20位: 完全         (72回)
  21位: 効率         (58回)
  22位: 睡蓮         (54回)
  23位: 馬鹿         (53回)
  24位: 少し         (53回)
  25位: 搾取         (50回)
  26位: ほど         (50回)
  27位: 世界         (49回)
  28位: 一人         (49回)
  29位: 静か         (48回)
  30位: 時間         (47回)
  31位: 契約         (47回)
  32位: 生き         (46回)
  33位: 機構         (46回)
  34位: 巨大         (44回)
  35位: まれ         (44回)
  36位: なる         (43回)
  37位: まっ         (43回)
  38位: 他人         (42回)
  39位: 冷たい        (41回)
  40位: 異常         (40回)
  41位: パモナナ       (40回)
  42位: でき         (39回)
  43位: けた         (39回)
  44位: 自身         (39回)
  45位: 絶望         (39回)
  46位: ニーナ        (38回)
  47位: 瞬間         (36回)
  48位: だから        (36回)
  49位: つけ         (36回)
  50位: ひどく        (36回)
  51位: 絶対         (36回)
  52位: しか         (36回)
  53位: 人間         (35回)
  54位: すら         (35回)
  55位: 十六         (35回)
  56位: しく         (35回)
  57位: 消費         (35回)
  58位: 年間         (35回)
  59位: 一切         (35回)
  60位: ろう         (34回)
  61位: 特進         (34回)
  62位: いい         (33回)
  63位: 少年         (33回)
  64位: 両親         (33回)
  65位: 一瞬         (33回)
  66位: 落ち         (33回)
  67位: 自ら         (33回)
  68位: 路地         (32回)
  69位: 誰か         (32回)
  70位: 防壁         (32回)
  71位: 言葉         (31回)
  72位: かつて        (31回)
  73位: 三十         (31回)
  74位: かけ         (30回)
  75位: 全て         (30回)
  76位: かって        (29回)
  77位: ベッド        (29回)
  78位: あっ         (29回)
  79位: にし         (29回)
  80位: 経路         (28回)
  81位: じゃ         (28回)
  82位: しない        (27回)
  83位: 未来         (27回)
  84位: 少女         (27回)
  85位: 空間         (27回)
  86位: 立ち         (27回)
  87位: 引き         (27回)
  88位: 自己         (26回)
  89位: つい         (26回)
  90位: 理解         (26回)
  91位: 黒い         (26回)
  92位: 構造         (26回)
  93位: たった        (26回)
  94位: すぎる        (26回)
  95位: 過去         (26回)
  96位: 治癒         (25回)
  97位: 今日         (25回)
  98位: 本当に        (25回)
  99位: 数式         (25回)
 100位: 叩き         (25回)
 101位: 回路         (25回)
 102位: 灰色         (25回)
 103位: 彼ら         (24回)
 104位: 父親         (24回)
 105位: 立て         (24回)
 106位: 向け         (24回)
 107位: 以上         (24回)
 108位: 純粋         (24回)
 109位: 善意         (24回)
 110位: 冷徹         (23回)
 111位: 犠牲         (23回)
 112位: 期待         (23回)
 113位: 止め         (23回)
 114位: にとって       (23回)
 115位: 家族         (23回)
 116位: 先生         (23回)
 117位: これまで       (23回)
 118位: 肉体         (23回)
 119位: 完璧         (23回)
 120位: われ         (23回)
 121位: 背中         (23回)
 122位: 決して        (22回)
 123位: なんて        (22回)
 124位: 明日         (22回)
 125位: 出し         (22回)
 126位: 始め         (22回)
 127位: 微か         (22回)
 128位: 存在         (22回)
 129位: 薄暗い        (22回)
 130位: つめ         (22回)
 131位: 初老         (22回)
 132位: てく         (21回)
 133位: たか         (21回)
 134位: しよう        (21回)
 135位: いく         (21回)
 136位: 最悪         (21回)
 137位: 安全         (21回)
 138位: より         (21回)
 139位: 転換         (21回)
 140位: 無駄         (20回)
 141位: 息子         (20回)
 142位: みたい        (20回)
 143位: 震える        (20回)
 144位: たん         (20回)
 145位: 代償         (20回)
 146位: 論理         (20回)
 147位: 対象         (20回)
 148位: 強制         (20回)
 149位: 老人         (20回)
 150位: 才能         (19回)
 151位: 深い         (19回)
 152位: 差し         (19回)
 153位: 小さな        (19回)
 154位: 取り         (19回)
 155位: 尽く         (19回)
 156位: 持つ         (19回)
 157位: 暗がり        (19回)
 158位: 白髪         (19回)
 159位: 五年         (19回)
 160位: 狂気         (19回)
 161位: あばら家       (19回)
 162位: マスターキー     (19回)
 163位: すべて        (18回)
 164位: 必要         (18回)
 165位: ああ         (18回)
 166位: 振り         (18回)
 167位: あいつ        (18回)
 168位: 絶対に        (18回)
 169位: 三百         (18回)
 170位: 強烈         (18回)
 171位: 限界         (18回)
 172位: 続ける        (17回)
 173位: すり         (17回)
 174位: 数百         (17回)
 175位: いつも        (17回)
 176位: 良い         (17回)
 177位: くる         (17回)
 178位: たく         (17回)
 179位: できる        (17回)
 180位: ずっと        (17回)
 181位: 初めて        (17回)
 182位: 見え         (17回)
 183位: 汚れ         (17回)
 184位: 観測         (17回)
 185位: 演算         (17回)
 186位: 突き         (17回)
 187位: 空気         (17回)
 188位: 玉座         (17回)
 189位: 助け         (16回)
 190位: 救う         (16回)
 191位: 痛み         (16回)
 192位: 莫大         (16回)
 193位: 空中         (16回)
 194位: 温かい        (16回)
 195位: 一番         (16回)
 196位: さく         (16回)
 197位: 通り         (16回)
 198位: 視線         (16回)
 199位: ことに        (16回)
 200位: もし         (16回)
 201位: やる         (16回)
 202位: 途方         (16回)
 203位: 直接         (16回)
 204位: 老い         (16回)
 205位: また         (16回)
 206位: 重い         (16回)
 207位: 耐え         (16回)
 208位: 事実         (16回)
 209位: 背後         (16回)
 210位: 死ぬ         (16回)
 211位: 燃費         (16回)
 212位: 市場         (16回)
 213位: 天才         (15回)
 214位: してき        (15回)
 215位: 地下         (15回)
 216位: 押し         (15回)
 217位: 部屋         (15回)
 218位: わずか        (15回)
 219位: 母親         (15回)
 220位: 同じ         (15回)
 221位: 悲鳴         (15回)
 222位: 二人         (15回)
 223位: そのもの       (15回)
 224位: 理不尽        (15回)
 225位: 果て         (15回)
 226位: 奴隷         (15回)
 227位: 冷え         (15回)
 228位: 足元         (15回)
 229位: ゆっくりと      (15回)
 230位: 展開         (15回)
 231位: 無数         (15回)
 232位: 流し         (15回)
 233位: ごめん        (15回)
 234位: 因果         (15回)
 235位: 感じ         (14回)
 236位: 完成         (14回)
 237位: 子供         (14回)
 238位: 笑顔         (14回)
 239位: 再び         (14回)
 240位: 入れ         (14回)
 241位: 両手         (14回)
 242位: 隠し         (14回)
 243位: による        (14回)
 244位: どれほど       (14回)
 245位: 極限         (14回)
 246位: 構築         (14回)
 247位: 不器用        (14回)
 248位: 崩れ         (14回)
 249位: ごと         (14回)
 250位: 安堵         (14回)
 251位: 理論         (14回)
 252位: しげ         (14回)
 253位: 転移         (14回)
 254位: 殺意         (14回)
 255位: 最後         (14回)
 256位: 詐欺         (13回)
 257位: 泣き         (13回)
 258位: 対価         (13回)
 259位: 二十         (13回)
 260位: 結果         (13回)
 261位: わせ         (13回)
 262位: 年前         (13回)
 263位: 他者         (13回)
 264位: 組み         (13回)
 265位: 逃げ         (13回)
 266位: 兄ちゃん       (13回)
 267位: 笑い         (13回)
 268位: 張り         (13回)
 269位: 悪い         (13回)
 270位: 奇跡         (13回)
 271位: おい         (13回)
 272位: 頭脳         (13回)
 273位: 腕輪         (13回)
 274位: しま         (13回)
 275位: 二年         (13回)
 276位: 生命         (13回)
 277位: あまりに       (13回)
 278位: 残酷         (13回)
 279位: 焼き         (13回)
 280位: 悠久         (13回)
 281位: 怒り         (13回)
 282位: 感情         (13回)
 283位: 健康         (13回)
 284位: せん         (13回)
 285位: 極太         (13回)
 286位: 圧倒的        (13回)
 287位: 暴走         (13回)
 288位: ろうと        (13回)
 289位: 勝手         (13回)
 290位: 干渉         (13回)
 291位: 冷酷         (12回)
 292位: とも         (12回)
 293位: 込み         (12回)
 294位: ありがとう      (12回)
 295位: 徴収         (12回)
 296位: 永遠         (12回)
 297位: あり         (12回)
 298位: 無償         (12回)
 299位: 付け         (12回)
 300位: まるで        (12回)
 301位: 触れ         (12回)
 302位: げた         (12回)
 303位: 抱え         (12回)
 304位: 笑み         (12回)
 305位: えて         (12回)
 306位: 呼吸         (12回)
 307位: 退屈         (12回)
 308位: どこか        (12回)
 309位: 究極         (12回)
 310位: すっかり       (12回)
 311位: つき         (12回)
 312位: 十年         (12回)
 313位: 最高         (12回)
 314位: 結界         (12回)
 315位: コア         (12回)
 316位: 石畳         (11回)
 317位: 一秒         (11回)
 318位: 済む         (11回)
 319位: にわたり       (11回)
 320位: 孤独         (11回)
 321位: 綺麗         (11回)
 322位: 優しい        (11回)
 323位: だからこそ      (11回)
 324位: 観察         (11回)
